functionName,f01_totalBasicBlocks,f02_oneSuccessor,f03_twoSuccessor,f04_greaterTwoSuccessor,f05_onePredecessor,f06_twoPredecessor,f07_greaterTwoPredecessor,f08_onePredSuc,f09_onePred_twoSuc,f10_twoPred_oneSuc,f11_twoPredSuc,f12_greaterTwoPredSuc,f13_instructionLess15,f14_instructionInterval,f15_instructionGreater500,f16_numOfEdges,f17_numOfCriticalEdges,f18_abnormalEdge,f19_directCalls,f20_condBranch,f21_assigmentInstructions,f22_uncondBranch,f23_numOfIntOperations,f24_numOfFloatOperations,f25_numInstructions,f26_instructionAverage,f27_averagePhi,f28_averagePhiArgs,f29_blockWithoutPhi,f30_blockPhiIntervalNodes,f31_blockPhiGreater3Nodes,f32_blocksPhiGreater5Arg,f33_blocksPhiIntervalArg,f34_numOfSwitchInstruction,f35_numOfUnaryOperations,f36_ptrArithmetic,f37_indirectRefs,f38_addresVar,f39_addressFunction,f40_indirectCalls,f41_leftOpIntConst,f42_oneOperandConst,f43_callArgPtrType,f44_call4args,f45_ptrRetCallType,f46_intRetCallType,f47_constInt0,f48_constInt32bits,f49_constInt1,f50_constInt64bits,f51_numRefeOfLocalVar,f52_defUseCounter,f53_refLocalVariable,f54_refExterVariable,f55_localPtrVar,f56_staticPtrVar
main,154,104,49,0,104,49,0,88,16,16,32,0,140,14,0,202,20,0,86,49,919,104,109,0,1282,8.324676,0.000000,0.000000,154,154,0,0,0,0,0,0,53,52,0,0,6,98,49,0,26,20,311,426,107,105,1284,1,918,1,523,0
func0,43,30,12,0,30,12,0,28,2,2,9,0,38,5,0,54,2,0,16,12,230,30,27,0,326,7.581395,0.000000,0.000000,43,43,0,0,0,0,0,0,13,12,0,0,1,25,9,0,6,3,71,102,29,19,326,0,230,0,124,0
func1,4,2,1,0,2,1,0,2,0,0,0,0,2,2,0,4,0,0,3,1,40,2,4,0,55,13.750000,0.000000,0.000000,4,4,0,0,0,0,0,0,4,3,0,0,1,4,1,0,2,0,15,18,6,8,56,0,40,0,29,0
func2,29,20,8,0,20,8,0,18,2,2,5,0,25,4,0,36,1,0,10,8,146,20,19,0,210,7.241379,0.000000,0.000000,29,29,0,0,0,0,0,0,9,8,0,0,1,17,5,0,4,2,43,63,20,13,207,0,146,0,78,0
func3,27,19,7,0,19,7,0,18,1,1,5,0,24,3,0,33,0,0,4,7,123,19,15,0,177,6.555555,0.000000,0.000000,27,27,0,0,0,0,0,0,6,5,0,0,1,14,1,0,2,1,32,50,17,8,174,0,123,0,62,0
func4,88,62,25,0,63,23,1,56,7,6,17,0,80,8,0,112,3,0,23,25,413,62,57,0,592,6.727273,0.000000,0.000000,88,88,0,0,0,0,0,0,16,15,0,0,3,52,11,0,8,5,117,175,56,35,585,0,413,0,204,0
func5,15,10,4,0,10,4,0,9,0,1,3,0,12,3,0,18,0,0,4,4,73,10,11,0,106,7.066667,0.000000,0.000000,15,15,0,0,0,0,0,0,4,3,0,0,1,10,1,0,2,1,21,29,12,10,102,0,73,0,39,0
func6,4,2,1,0,2,1,0,2,0,0,0,0,2,2,0,4,0,0,3,1,40,2,4,0,55,13.750000,0.000000,0.000000,4,4,0,0,0,0,0,0,4,3,0,0,1,4,1,0,2,0,15,18,6,8,56,0,40,0,29,0
func7,11,7,3,0,7,3,0,6,1,1,1,0,8,3,0,13,0,0,3,3,60,7,5,0,86,7.818182,0.000000,0.000000,11,11,0,0,0,0,0,0,6,5,0,0,1,5,1,0,2,0,19,25,8,8,85,0,60,0,39,0
rng,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,8,0,2,0,10,10.000000,0.000000,0.000000,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,9,0,8,0,1,0
